lang,family
English,Germanic
German,Germanic
Dutch,Germanic
Middle Dutch,Germanic
Old Dutch,Germanic
Low German,Germanic
German Low German,Germanic
Middle Low German,Germanic
Old Saxon,Germanic
Middle High German,Germanic
Old High German,Germanic
Old English,Germanic
Middle English,Germanic
Swedish,Germanic
Old Swedish,Germanic
Norwegian,Germanic
Norwegian Bokmål,Germanic
Norwegian Nynorsk,Germanic
Danish,Germanic
Old Norse,Germanic
Old Danish,Germanic
Icelandic,Germanic
Faroese,Germanic
Luxembourgish,Germanic
West Frisian,Germanic
Old Frisian,Germanic
Gothic,Germanic
Frankish,Germanic
Proto-Germanic,Germanic
Proto-West Germanic,Germanic
Proto-Norse,Germanic
Latin,Romance
Late Latin,Romance
Vulgar Latin,Romance
Medieval Latin,Romance
New Latin,Romance
Ecclesiastical Latin,Romance
Italian,Romance
Old Italian,Romance
French,Romance
Old French,Romance
Middle French,Romance
Spanish,Romance
Old Spanish,Romance
Portuguese,Romance
Galician,Romance
Galician-Portuguese,Romance
Romanian,Romance
Catalan,Romance
Old Catalan,Romance
Occitan,Romance
Old Occitan,Romance
Sicilian,Romance
Sardinian,Romance
Friulian,Romance
Romansch,Romance
Proto-Italic,Romance
Proto-Indo-European,Indo-European
Ancient Greek,Hellenic
Greek,Hellenic
Mycenaean Greek,Hellenic
Proto-Hellenic,Hellenic
Polish,Slavic
Russian,Slavic
Ukrainian,Slavic
Belarusian,Slavic
Czech,Slavic
Slovak,Slavic
Serbo-Croatian,Slavic
Bulgarian,Slavic
Macedonian,Slavic
Slovene,Slavic
Old Church Slavonic,Slavic
Proto-Slavic,Slavic
Proto-Balto-Slavic,Balto-Slavic
Lithuanian,Baltic
Latvian,Baltic
Old Prussian,Baltic
Proto-Baltic,Baltic
Sanskrit,Indo-Iranian
Hindi,Indo-Iranian
Urdu,Indo-Iranian
Persian,Indo-Iranian
Old Persian,Indo-Iranian
Middle Persian,Indo-Iranian
Pashto,Indo-Iranian
Bengali,Indo-Iranian
Punjabi,Indo-Iranian
Nepali,Indo-Iranian
Marathi,Indo-Iranian
Gujarati,Indo-Iranian
Pali,Indo-Iranian
Prakrit,Indo-Iranian
Avestan,Indo-Iranian
Proto-Indo-Iranian,Indo-Iranian
Proto-Iranian,Indo-Iranian
Irish,Celtic
Old Irish,Celtic
Middle Irish,Celtic
Welsh,Celtic
Middle Welsh,Celtic
Scottish Gaelic,Celtic
Breton,Celtic
Cornish,Celtic
Manx,Celtic
Gaulish,Celtic
Proto-Celtic,Celtic
Albanian,Albanian
Old Armenian,Armenian
Armenian,Armenian
Proto-Armenian,Armenian
Tocharian A,Tocharian
Tocharian B,Tocharian
Finnish,Uralic
Estonian,Uralic
Hungarian,Uralic
Karelian,Uralic
Votic,Uralic
Veps,Uralic
Northern Sami,Uralic
Proto-Finnic,Uralic
Proto-Uralic,Uralic
Proto-Samic,Uralic
Turkish,Turkic
Azerbaijani,Turkic
Kazakh,Turkic
Uzbek,Turkic
Turkmen,Turkic
Kyrgyz,Turkic
Tatar,Turkic
Bashkir,Turkic
Uyghur,Turkic
Chuvash,Turkic
Ottoman Turkish,Turkic
Old Turkic,Turkic
Proto-Turkic,Turkic
Arabic,Afroasiatic
Hebrew,Afroasiatic
Aramaic,Afroasiatic
Amharic,Afroasiatic
Maltese,Afroasiatic
Akkadian,Afroasiatic
Egyptian,Afroasiatic
Proto-Semitic,Afroasiatic
Japanese,Japonic
Old Japanese,Japonic
Okinawan,Japonic
Proto-Japonic,Japonic
Korean,Koreanic
Middle Korean,Koreanic
Old Korean,Koreanic
Proto-Koreanic,Koreanic
Mandarin,Sino-Tibetan
Chinese,Sino-Tibetan
Middle Chinese,Sino-Tibetan
Old Chinese,Sino-Tibetan
Cantonese,Sino-Tibetan
Tibetan,Sino-Tibetan
Burmese,Sino-Tibetan
Proto-Sino-Tibetan,Sino-Tibetan
Thai,Tai-Kadai
Lao,Tai-Kadai
Zhuang,Tai-Kadai
Shan,Tai-Kadai
Proto-Tai,Tai-Kadai
Vietnamese,Austroasiatic
Khmer,Austroasiatic
Mon,Austroasiatic
Proto-Mon-Khmer,Austroasiatic
Indonesian,Austronesian
Malay,Austronesian
Tagalog,Austronesian
Cebuano,Austronesian
Javanese,Austronesian
Hawaiian,Austronesian
Maori,Austronesian
Malagasy,Austronesian
Proto-Austronesian,Austronesian
Proto-Malayo-Polynesian,Austronesian
Mongolian,Mongolic
Middle Mongol,Mongolic
Proto-Mongolic,Mongolic
Georgian,Kartvelian
Old Georgian,Kartvelian
Basque,Isolate
Swahili,Niger-Congo
Yoruba,Niger-Congo
Zulu,Niger-Congo
Proto-Bantu,Niger-Congo
Nahuatl,Uto-Aztecan
Quechua,Quechuan
Esperanto,Constructed
Ido,Constructed
Interlingua,Constructed
Volapük,Constructed
Translingual,Translingual
